abbr,cir_cap,cir_val,code,main_scope,net_profit,tot_cap,tot_val
创业慧康,83287.17,1337591.91,a300451,"医疗行业64.45%,非医疗行35.55%", 5798.00,110962.71,1782061.18
浩云科技,42096.08,382232.42,a300448,"金融行业62.93%,平安城市18.00%,司法行业8.96%,其他行业10.11%", -3945.42,69232.14,628627.84
运达科技,44186.61,525378.80,a300440,软件和信100.00%, 270.26,44800.00,532672.00
暴风集团,24315.42,36959.44,a300431,"销售商品68.00%,广告业务25.36%,网络付费6.64%", --,32952.45,50087.73
浩丰科技,36775.38,190128.70,a300419,"金融47.49%,政府及公22.38%,商业流通17.93%,文化传媒12.19%", -2960.45,36775.38,190128.70
昆仑万维,89425.00,1984340.80,a300418,互联网收100.00%, 50783.70,114836.93,2548231.37
京天利,13405.53,192771.47,a300399,"移动信息50.54%,保险产品49.46%", 159.97,19760.00,284148.80
腾信股份,25900.36,185705.58,a300392,互联网营100.00%, 50.19,38400.00,275328.00
飞天诚信,21924.98,393334.23,a300386,信息安全100.00%, 33.40,41804.40,749970.94
光环新网,150206.02,3953422.38,a300383,电信服务100.00%, 22086.02,154313.99,4061544.27
安硕信息,12120.12,211617.26,a300380,信息服务100.00%, 90.91,13744.00,239970.24
东方通,23268.81,1087118.65,a300379,"电信82.49%,政府17.51%", -4114.53,28129.57,1314213.55
鼎捷软件,26465.37,337698.16,a300378,软件服务100.00%, -5278.90,26601.90,339440.18
赢时胜,56651.46,550652.19,a300377,"定制软件62.20%,服务费收37.80%", -2709.09,74209.21,721313.50
创意信息,33228.54,316003.45,a300366,软件和信100.00%, -3934.36,52557.62,499822.92
恒华科技,34351.99,383711.72,a300365,主营业务100.00%, 585.62,60583.90,676722.13
全通教育,53354.61,272108.49,a300359,软件及信100.00%, 365.59,63410.34,323392.75
北信源,109746.44,785784.51,a300352,"政府36.54%,能源15.63%,其他47.83%", 481.31,144982.41,1038074.05
华鹏飞,30783.30,123133.20,a300350,"信息服务61.76%,物流服务38.24%", 83.56,47672.44,190689.77
金卡智能,37898.78,571513.61,a300349,"仪器仪表55.04%,软件及信44.96%", 3779.24,42911.95,647112.18
长亮科技,35742.16,866032.57,a300348,软件开发100.00%, 182.01,48181.03,1167426.28
联创股份,79292.97,155414.23,a300343,"互联网广87.95%,化工行业12.05%", -2984.50,117511.22,230321.98
润和软件,74731.17,729376.26,a300339,软件业务100.00%, 1042.04,79641.08,777296.98
兆日科技,33089.51,288540.50,a300333,票据防伪100.00%, -564.28,33600.00,292992.00
华虹计通,16771.97,168726.06,a300330,"系统集成67.99%,产品销售23.62%,服务收入8.39%", 11.98,16800.00,169008.00
旋极信息,122321.23,757168.42,a300324,"智慧城市64.32%,信息安全21.88%,智慧防务13.80%", -3978.56,175301.46,1085116.03
掌趣科技,260033.01,1474387.16,a300315,信息服务100.00%, 9411.28,275748.42,1563493.54
邦讯技术,20149.47,95911.50,a300312,"无线网络74.74%,互联网游25.26%", -1395.11,32004.00,152339.04
任子行,51040.89,365963.20,a300311,"文化娱乐27.12%,网资管理26.84%,公共安全21.28%,信息安全19.33%,网络安全4.94%,其他业务0.48%", -4616.10,67998.88,487551.98
宜通世纪,68001.73,397810.09,a300310,"通信服务85.80%,医疗设备10.52%,物联网3.68%", 441.44,88165.85,515770.24
同有科技,25138.07,298640.32,a300302,"非政府客61.67%,政府客户38.33%", -1344.46,47987.12,570087.02
汉鼎宇佑,67133.88,381320.42,a300300,"智慧城市74.24%,智慧医疗25.76%", -6277.68,67857.00,385427.75
富春股份,62031.02,292786.42,a300299,"游戏业务68.02%,通信业务31.98%", 1489.24,71080.09,335498.04
蓝盾股份,99728.48,361017.10,a300297,"系统集成49.65%,制造贸易26.93%,政府机关23.42%", -3820.69,124980.61,452429.79
三六五网,16586.94,194398.92,a300295,"房地产网85.22%,互联网金14.78%", -1575.03,19262.58,225757.44
吴通控股,102961.69,528193.45,a300292,"服务业79.43%,工业20.57%", -388.39,127485.05,653998.29
荣科科技,52573.83,294413.45,a300290,"社保医疗56.32%,政府16.91%,教育13.50%,金融13.28%", -1481.39,57529.52,322165.30
朗玛信息,20236.75,223818.44,a300288,计算机应100.00%, 668.77,33794.14,373763.19
飞利信,113153.75,479771.88,a300287,"企事业单85.76%,行政单位14.24%", -264.14,143527.38,608556.09
海联讯,33439.06,257480.78,a300277,计算机应100.00%, 326.44,33500.00,257950.00
梅安森,11761.04,129371.46,a300275,"安全生产92.94%,环保行业7.06%", 488.56,16811.40,184925.40
华宇软件,66718.43,1776044.53,a300271,"法律科技64.43%,教育信息13.97%,市场监管3.51%,大企业及18.09%", -2502.45,80939.07,2154598.10
佳创视讯,32243.22,157991.80,a300264,"数字电视93.53%,游戏行业6.47%", -772.56,41310.00,202419.00
初灵信息,15191.99,198863.11,a300250,"软件和信53.53%,通信设备46.47%", -1024.57,21998.99,287966.78
依米康,30546.28,188470.52,a300249,"信息数据75.02%,环保治理19.95%,医疗健康5.03%", -3979.10,43747.02,269919.11
新开普,31838.18,353722.15,a300248,软件和信100.00%, 1111.10,48109.25,534493.76
天玑科技,30796.03,285171.24,a300245,"电信53.28%,金融23.51%,其他23.21%", 364.92,31345.75,290261.64
佳云科技,58918.74,277507.25,a300242,"互联网营99.93%,其他0.07%", 105.31,63455.52,298875.51
方直科技,10556.05,160874.27,a300235,"教育行业96.36%,其他3.64%", 1358.20,16783.11,255774.58
银信科技,35868.22,294119.40,a300231,"银行81.01%,运营商18.99%", 1978.50,44210.02,362522.18
拓尔思,46545.69,749385.57,a300229,"公安及安24.61%,政府及事21.16%,出版传媒54.23%", 854.90,47801.12,769598.06
