abbr,cir_cap,cir_val,code,main_scope,net_profit,tot_cap,tot_val
广联达,89176.20,4914500.56,a002410,软件行业100.00%, 5297.19,112852.87,6219321.88
四维图新,191007.91,2918600.90,a002405,"导航40.88%,芯片30.54%,车联网28.59%", 8560.03,196156.32,2997268.52
中远海科,30210.77,435337.13,a002401,软件与信100.00%, --,30940.01,445845.54
科远智慧,14335.36,194817.58,a002380,工业自动100.00%, 1070.81,23999.16,326148.65
千方科技,95340.12,2171847.95,a002373,"智慧交通54.62%,智能安防44.82%,其他行业0.57%", 101337.42,149101.98,3396543.05
太极股份,40505.50,1766444.68,a002368,"政务44.76%,企业39.18%,事业单位10.72%,其他5.34%", 1401.98,41277.75,1800122.78
*ST北讯,70856.00,95655.60,a002359,"通信行业74.61%,制造业25.39%", -72008.11,108719.18,146770.89
*ST天娱,69954.18,179082.71,a002354,"游戏48.81%,互联网24.63%,平台收入15.52%,影视广告11.04%", -7096.44,93214.29,238628.58
皖通科技,33653.10,343934.72,a002331,"高速公路59.35%,港口航运18.79%,军工电子7.61%,城市智能6.42%,智能安防3.13%,其他4.70%", 8054.60,41207.25,421138.06
理工环科,35095.45,407107.19,a002322,"环境保护43.25%,软件(客38.69%,土壤修复12.66%,输电及控5.41%", 3015.08,39666.22,460128.16
亚联发展,29338.87,175739.84,a002316,"第三方支84.64%,交通行业8.14%,电力行业7.10%,其他行业0.12%", -3160.10,39312.00,235478.88
焦点科技,16670.58,225552.95,a002315,"B2B81.32%,保险18.68%", -2033.02,30550.00,413341.50
中电兴发,52779.39,432263.22,a002298,软件和信100.00%, 3929.57,69150.59,566343.34
联络互动,176302.64,303240.53,a002280,"电商及经97.22%,互联网金1.61%,应用分发0.64%,文化传媒0.19%,智能硬件0.00%,其他0.34%", -14050.58,217714.97,374469.74
久其软件,61009.45,388020.09,a002279,"互联网业62.38%,电子政务26.46%,集团管控11.16%", 5226.49,71125.49,452358.12
卫 士 通,83712.77,1896931.42,a002268,信息安全100.00%, -13585.80,83833.60,1899669.44
拓维信息,92677.13,803510.74,a002261,信息技术100.00%, 2437.03,110076.69,954364.88
川大智胜,20737.22,275182.93,a002253,软件行业100.00%, 305.27,22562.61,299405.83
*ST聚力,54452.15,80044.66,a002247,"游戏行业70.50%,建材行业29.50%", --,85087.00,125077.90
天威视讯,61735.32,595745.84,a002238,"有线电视0.00%,电视购物0.00%",,61735.32,595745.84
安妮股份,53334.32,431474.64,a002235,"互联网及61.79%,纸制品及38.21%", 10025.90,58058.63,469694.30
科大讯飞,186721.80,6385885.59,a002230,软件和信100.00%, -13144.52,219857.51,7519126.73
二三四五,560493.08,1625429.94,a002195,"互联网信51.10%,互联网金36.93%,合并抵消11.11%,其他业务0.85%", 73167.13,577042.77,1673424.05
*ST东网,75374.88,115323.56,a002175,"计量器具86.89%,文化传媒13.11%", 15311.49,75377.82,115328.07
游族网络,66233.05,1290219.73,a002174,软件和信100.00%,,88847.36,1730746.51
石基信息,48701.98,1560411.31,a002153,"计算机应63.86%,商品批发36.14%", 32174.43,106960.42,3427011.92
北纬科技,44361.17,207166.65,a002148,主营业务100.00%, 425.56,56577.37,264216.33
国脉科技,100264.62,907394.77,a002093,"企业38.20%,电信33.12%,消费16.34%,教育12.33%", 1400.89,100750.00,911787.50
*ST凯瑞,17600.00,92400.00,a002072,"互联网84.94%,贸易15.06%", 223.16,17600.00,92400.00
东华软件,280760.81,3383167.81,a002065,"金融行业67.77%,健康行业17.37%,能源行业14.87%", 75346.78,311548.24,3754156.26
远光软件,78054.02,1027971.41,a002063,电力行业100.00%, 13416.79,84806.62,1116903.24
新 大 陆,101632.66,1647465.36,a000997,"服务业64.99%,制造业35.01%", --,105172.97,1704853.87
*ST高升,78976.94,222714.98,a000971,"网络通信67.45%,虚拟专用20.70%,通信网络11.21%,内部销售0.64%", -2602.12,105530.79,297596.83
南天信息,32045.47,394479.71,a000948,软件和信0.00%, -4706.98,38116.57,469214.95
电广传媒,129462.58,833739.02,a000917,"广告代理77.31%,网络传输22.69%", -14187.98,141755.63,912906.28
京北方,4017.00,242225.10,a002987,,,16066.24,968794.16
